"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2021-10-05T02:32:17.986Z[Etc/UTC]","0.0","12.27"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2021-10-05T02:32:30.255Z[Etc/UTC]","0.0","10.66"
