"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2022-01-31T15:04:57.828Z[Etc/UTC]","0.0","12.4"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2022-01-31T15:05:10.225Z[Etc/UTC]","0.0","11.46"
