"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2021-11-09T02:52:03.065Z[Etc/UTC]","0.0","11.69"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2021-11-09T02:52:14.758Z[Etc/UTC]","0.0","11.0"
