"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2021-10-14T04:07:15.9Z[Etc/UTC]","0.0","15.64"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2021-10-14T04:07:31.536Z[Etc/UTC]","0.0","12.16"
