"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2022-02-15T00:19:27.615Z[Etc/UTC]","0.0","11.88"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2022-02-15T00:19:39.496Z[Etc/UTC]","0.0","10.76"
