"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2021-11-18T21:28:58.695Z[Etc/UTC]","0.0","13.28"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2021-11-18T21:29:11.972Z[Etc/UTC]","0.0","12.68"
