"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2022-01-18T22:29:09.687Z[Etc/UTC]","0.0","12.03"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2022-01-18T22:29:21.715Z[Etc/UTC]","0.0","10.66"
