"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2021-10-16T00:35:51.25Z[Etc/UTC]","0.0","15.74"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2021-10-16T00:36:06.993Z[Etc/UTC]","0.0","12.28"
