"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2022-03-20T03:20:39.252Z[Etc/UTC]","0.0","11.97"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2022-03-20T03:20:51.227Z[Etc/UTC]","0.0","10.36"
