"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2022-02-01T13:53:23.771Z[Etc/UTC]","0.0","12.22"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2022-02-01T13:53:35.991Z[Etc/UTC]","0.0","10.8"
