"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2021-09-08T11:51:20.224Z[Etc/UTC]","0.0","15.42"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2021-09-08T11:51:35.644Z[Etc/UTC]","0.0","12.53"
