"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2021-12-23T09:16:26.096Z[Etc/UTC]","0.0","12.75"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2021-12-23T09:16:38.843Z[Etc/UTC]","0.0","11.51"
