"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2021-12-14T22:56:37.844Z[Etc/UTC]","0.0","12.62"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2021-12-14T22:56:50.469Z[Etc/UTC]","0.0","11.63"
