"Story","Title","Result","Date","Stability","Duration (s)"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas costoso","SUCCESS","2022-01-10T19:57:51.585Z[Etc/UTC]","0.0","12.18"
"Comprar celular en DemoBlaze","Observar mensaje de compra, al comprar el celular mas economico","SUCCESS","2022-01-10T19:58:03.769Z[Etc/UTC]","0.0","11.02"
